"slug","city_name_ru","hotel_name","image_url","star_rating","region_id","tripadvisor_rating","max_tripadvisor_rating","facilities","price"
"wolf_of_damstreet_","Амстердам","Wolf Of Damstreet","https://cdn.ostrovok.ru/t/orig/second/16/d7/16d7cd375ea16fb316677f429ae49177d10760be.jpeg",,378,0,5,"",8127.61
"st_christophers_inn_at_the_winston","Амстердам","St. Christopher's at The Winston","https://cdn.ostrovok.ru/t/orig/second2/1389645300/3072c24b7605c68fc84d2161405c9321.jpg",,378,4,5,"",10672.00
"hcc_hotel_covadonga","Барселона","Vincci Mae","https://cdn.ostrovok.ru/t/orig/mec/b6/eb/b6eb6d0c493bd13f1f37ae0f9a66256839f384ed.jpeg",,513,4,5,"",12011.41
"placa_espana_fira_barcelona_2","Барселона","PLAÇA ESPAÑA - FIRA BARCELONA 2","https://cdn.ostrovok.ru/t/orig/second/cc/fd/ccfd18a21a48929a0165820eeff5acbd2877daf3.jpeg",,513,0,5,"",12175.61
"barcelonaforrent_gracia_apartments","Барселона","Barcelonaforrent Gracia Apartments","https://cdn.ostrovok.ru/t/orig/second/e9/63/e9630a6fa577c7ad45ccccc18b90c78896cc6c7f.jpeg",,513,0,5,"",14511.97
"sagrada_familia_sant_pau_park_guell","Барселона","Sagrada Familia Sant Pau Park Guell","https://cdn.ostrovok.ru/t/orig/second/3f/1d/3f1d5db966194206b51b559f7bfdc31a29a5fa8d.jpeg",,513,4.5,5,"",12175.61
"sant_agusti_2","Барселона","Hotel Sant Agustí","https://cdn.ostrovok.ru/t/orig/second/32/3e/323e448ee3ecdb5288ff62819397e4ac924751f5.jpeg",,513,3.5,5,"",9198.43
"sant_gervasi","Барселона","Sant Gervasi","https://cdn.ostrovok.ru/t/orig/second/0a/ed/0aed510177094fadf896a1bc73666a0d1ca27829.jpeg",,513,0,5,"",12175.61
"apartamento_plaza_real_","Барселона","Apartamento Plaza Real","https://cdn.ostrovok.ru/t/orig/second/4c/21/4c21504c4a5d3e33011bb8193343b66d05cc26f3.jpeg",,513,0,5,"",14511.97
"luxury_muntaner_plaza_","Барселона","Luxury Muntaner Plaza","https://cdn.ostrovok.ru/t/orig/second/91/54/9154cb588be8444876e15a6c7976c3f25ecd81c8.jpeg",,513,0,5,"",12175.61
"putxet_apartments","Барселона","Putxet Apartments","https://cdn.ostrovok.ru/t/orig/content/09/8e/098e73f8cb3f6c9b2acde59ed1a426b23519fde9.jpeg",,513,0,5,"",7928.68
"quartprimera_guest_house","Барселона","Quartprimera Guest House","https://cdn.ostrovok.ru/t/orig/second/69/48/69484a1caeca609859792e37f5f9fcacc1b398ef.jpeg",,513,5,5,"",13055.73
"eddyrooms_barcelona","Барселона","EddyRooms Barcelona","https://cdn.ostrovok.ru/t/orig/second/4f/72/4f7204b88f6478507a4ce9bdd13e322be798cc4d.jpeg",,513,4,5,"",7432.99
"la_pedrera_residence","Барселона","La Pedrera Residence","https://cdn.ostrovok.ru/t/orig/second/c8/84/c884f7ac4b3320e73ca2b07253327f4fa472a7ca.jpeg",,513,0,5,"",13235.36
"room_mate_emma_2","Барселона","Room Mate Emma","https://cdn.ostrovok.ru/t/orig/mec/hotels/4000000/3200000/3199900/3199828/3199828_195_b.jpg",,513,4.5,5,"",9810.95
"que_tal","Барселона","Hostal Que Tal","https://cdn.ostrovok.ru/t/orig/mec/hotels/3000000/2550000/2540900/2540854/2540854_62_b.jpg",,513,3,5,"",6261.48
"anba_bed__breakfast_deluxe","Барселона","ANBA Bed & Breakfast Deluxe","https://cdn.ostrovok.ru/t/orig/second/5b/2d/5b2d2d93265758f172ff987744472ad2371587cb.jpeg",,513,4.5,5,"",13382.10
"happy_people_sagrada_familia_apartments","Барселона","Happy People Sagrada Familia Sant Pau","https://cdn.ostrovok.ru/t/orig/mec/hotels/6000000/5370000/5361300/5361266/5361266_35_b.jpg",,513,0,5,"",15386.16
"apartment_ciutadella_park","Барселона","Sweet Inn Apartments - Ciutadella Park Mediterranean","https://cdn.ostrovok.ru/t/orig/second/99/da/99da64ca73a0629a5cd064699534f6339664f6c0.jpeg",,513,0,5,"",14511.97
"casa_de_les_lletres","Барселона","Apartamentos La Casa De Les Lletres","https://cdn.ostrovok.ru/t/orig/mec/hotels/3000000/2610000/2601400/2601347/2601347_243_b.jpg",,513,3.5,5,"",8968.37
"sarri_st_gervasi_sant_gervasi_cassoles__inh_22409_","Барселона","Sarria St. Gervasi Sant Gervasi Cassoles Inh 22409","https://cdn.ostrovok.ru/t/orig/carsolize/7c/4e/7c4ef1dc0f000a5943ba35e910c1fe2a855fa5b9.jpeg",,513,0,5,"",9680.69
